ID,NLD_ID,SO_SO_BHXH,THANG_BD,THANG_KT,TT_TG_BHXH,DT_TG_BHXH,NAM_TG_BHXH,THANG_TG_BHXH,NAM_TG_BHXH_BB,THANG_TG_BHXH_BB,TT_TG_BHTN,DT_TG_BHTN,NAM_TG_BHTN,THANG_TG_BHTN,TT_TG_BHYT,DT_TG_BHYT,NAM_TG_BHYT,THANG_TG_BHYT,NAM_NO_BHXH,THANG_NO_BHXH,NAM_NO_BHTN,THANG_NO_BHTN,TT_TG_BH,DT_TG_BH,TU_THANG_DVI,DEN_THANG_DVI,DEN_THANG_HTTT,DEN_THANG_BHTN,THANG_BD_LT,THANG_KT_LT,SO_THANG_LT,IS_ERRORS,NGHI_VIEC,IS_CONTINUE,TRUY_DONG,DEN_NGAY,MA_CD,MA_NHH,DD_MA_DON_VI,DD_THANG_DONG_DEN_XH,DD_TY_LE_NO_BHXH,DD_THANG_DONG_DEN_YT,DD_TY_LE_NO_BHYT,DD_THANG_DONG_DEN_TN,DD_TY_LE_NO_BHTN,DD_THANG_DONG_DEN_TNLD,DD_TY_LE_NO_TNLD,RAW_RESPONSE,CREATED_AT,source_file,load_time,layer,IS_DELETED,DELETED_AT
24,1000024,7000000024,198106,198212,1 năm 7 tháng,19,1,7,1,7,,,,,,,,,,,,,1 năm 7 tháng,19,198106,198212,,,198106,198212,19,0,1,0,0,,BHXH,,DV000182,198212,0.0,,,,,,,,2026-01-01 08:00:24.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
25,1000025,7000000025,201507,201604,0 năm 10 tháng,10,0,10,0,10,,,,,,,,,,,,,0 năm 10 tháng,10,201507,201604,,,201507,201604,10,0,1,0,0,,BHXH,,DV000189,201604,0.0,,,,,,,,2026-01-01 08:00:25.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
26,1000026,7000000026,200012,200204,1 năm 5 tháng,17,1,5,1,5,,,,,,,,,,,,,1 năm 5 tháng,17,200012,200204,,,200012,200204,17,0,1,0,0,,BHXH,,DV000196,200204,0.0,,,,,,,,2026-01-01 08:00:26.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
29,1000029,7000000029,199706,199712,0 năm 7 tháng,7,0,7,0,7,,,,,,,,,,,,,0 năm 7 tháng,7,199706,199712,,,199706,199712,7,0,1,0,0,,BHXH,,DV000217,199712,0.0,,,,,,,,2026-01-01 08:00:29.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
32,1000032,7000000032,202001,202601,0 năm 9 tháng,9,0,9,0,9,,,,,,,,,,,,,0 năm 9 tháng,9,200412,200508,,,200412,200508,9,0,1,0,0,,BHXH,,DV000238,200508,0.0,,,,,,,,2026-01-01 08:00:32.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
33,1000033,7000000033,,,1 năm 6 tháng,18,1,6,1,6,,,,,,,,,,,,,1 năm 6 tháng,18,198012,198205,,,198012,198205,18,0,1,0,0,,BHXH,,DV000258,198205,0.0,,,,,,,,2026-01-01 08:00:33.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
35,1000035,7000000035,199204,199307,1 năm 4 tháng,16,1,4,1,4,,,,,,,,,,,,,1 năm 4 tháng,16,199204,199307,,,199204,199307,16,0,1,0,0,,BHXH,,DV000272,199307,0.0,,,,,,,,2026-01-01 08:00:35.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
39,1000039,7000000039,198105,198112,0 năm 8 tháng,8,0,8,0,8,,,,,,,,,,,,,0 năm 8 tháng,8,198105,198112,,,198105,198112,8,0,1,0,0,,BHXH,,DV000287,198112,0.0,,,,,,,,2026-01-01 08:00:39.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
41,1000041,7000000041,201210,201407,1 năm 10 tháng,22,1,10,1,10,,,,,,,,,,,,,1 năm 10 tháng,22,201210,201407,,,201210,201407,22,0,1,0,0,,BHXH,,DV000314,201407,0.0,,,,,,,,2026-01-01 08:00:41.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
46,1000046,7000000046,,,0 năm 4 tháng,4,0,4,0,4,,,,,,,,,,,,,0 năm 4 tháng,4,198408,198411,,,198408,198411,4,0,1,0,0,,BHXH,,DV000323,198411,0.0,,,,,,,,2026-01-01 08:00:46.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
51,1000051,7000000051,,,0 năm 11 tháng,11,0,11,0,11,,,,,,,,,,,,,0 năm 11 tháng,11,197805,197903,,,197805,197903,11,0,1,0,0,,BHXH,,DV000384,197903,0.0,,,,,,,,2026-01-01 08:00:51.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
54,1000054,7000000054,202001,202601,0 năm 10 tháng,10,0,10,0,10,,,,,,,,,,,,,0 năm 10 tháng,10,198211,198308,,,198211,198308,10,0,1,0,0,,BHXH,,DV000405,198308,0.0,,,,,,,,2026-01-01 08:00:54.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
56,1000056,7000000056,201207,201211,0 năm 5 tháng,5,0,5,0,5,,,,,,,,,,,,,0 năm 5 tháng,5,201207,201211,,,201207,201211,5,0,1,0,0,,BHXH,,DV000406,201211,0.0,,,,,,,,2026-01-01 08:00:56.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
58,1000058,7000000058,198401,198505,1 năm 5 tháng,17,1,5,1,5,,,,,,,,,,,,,1 năm 5 tháng,17,198401,198505,,,198401,198505,17,0,1,0,0,,BHXH,,DV000420,198505,0.0,,,,,,,,2026-01-01 08:00:58.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
61,1000061,7000000061,,,1 năm 5 tháng,17,1,5,1,5,,,,,,,,,,,,,1 năm 5 tháng,17,202407,202511,,,202407,202511,17,0,1,0,0,,BHXH,,DV000441,202511,0.0,,,,,,,,2026-01-01 08:01:01.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
62,1000062,7000000062,200809,200910,1 năm 2 tháng,14,1,2,1,2,,,,,,,,,,,,,1 năm 2 tháng,14,200809,200910,,,200809,200910,14,0,1,0,0,,BHXH,,DV000448,200910,0.0,,,,,,,,2026-01-01 08:01:02.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
63,1000063,7000000063,198703,198709,0 năm 7 tháng,7,0,7,0,7,,,,,,,,,,,,,0 năm 7 tháng,7,198703,198709,,,198703,198709,7,0,1,0,0,,BHXH,,DV000442,198709,0.0,,,,,,,,2026-01-01 08:01:03.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
67,1000067,7000000067,,,0 năm 10 tháng,10,0,10,0,10,,,,,,,,,,,,,0 năm 10 tháng,10,200108,200205,,,200108,200205,10,0,1,0,0,,BHXH,,DV000483,200205,0.0,,,,,,,,2026-01-01 08:01:07.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
69,1000069,7000000069,202001,202601,0 năm 8 tháng,8,0,8,0,8,,,,,,,,,,,,,0 năm 8 tháng,8,197811,197906,,,197811,197906,8,0,1,0,0,,BHXH,,DV000497,197906,0.0,,,,,,,,2026-01-01 08:01:09.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
70,1000070,7000000070,200803,200901,0 năm 11 tháng,11,0,11,0,11,,,,,,,,,,,,,0 năm 11 tháng,11,200803,200901,,,200803,200901,11,0,1,0,0,,BHXH,,DV000504,200901,0.0,,,,,,,,2026-01-01 08:01:10.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
71,1000071,7000000071,199907,200103,1 năm 9 tháng,21,1,9,1,9,,,,,,,,,,,,,1 năm 9 tháng,21,199907,200103,,,199907,200103,21,0,1,0,0,,BHXH,,DV000524,200103,0.0,,,,,,,,2026-01-01 08:01:11.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
73,1000073,7000000073,197410,197504,0 năm 7 tháng,7,0,7,0,7,,,,,,,,,,,,,0 năm 7 tháng,7,197410,197504,,,197410,197504,7,0,1,0,0,,BHXH,,DV000525,197504,0.0,,,,,,,,2026-01-01 08:01:13.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
76,1000076,7000000076,198102,198207,1 năm 6 tháng,18,1,6,1,6,,,,,,,,,,,,,1 năm 6 tháng,18,198102,198207,,,198102,198207,18,0,1,0,0,,BHXH,,DV000546,198207,0.0,,,,,,,,2026-01-01 08:01:16.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
77,1000077,7000000077,199811,200002,1 năm 4 tháng,16,1,4,1,4,,,,,,,,,,,,,1 năm 4 tháng,16,199811,200002,,,199811,200002,16,0,1,0,0,,BHXH,,DV000566,200002,0.0,,,,,,,,2026-01-01 08:01:17.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
79,1000079,7000000079,202001,202601,1 năm 0 tháng,12,1,0,1,0,,,,,,,,,,,,,1 năm 0 tháng,12,202001,202012,,,202001,202012,12,0,1,0,0,,BHXH,,DV000567,202012,0.0,,,,,,,,2026-01-01 08:01:19.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
93,1000093,7000000093,202001,202601,1 năm 1 tháng,13,1,1,1,1,,,,,,,,,,,,,1 năm 1 tháng,13,201412,201512,,,201412,201512,13,0,1,0,0,,BHXH,,DV000665,201512,0.0,,,,,,,,2026-01-01 08:01:33.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
96,1000096,7000000096,202001,202601,1 năm 4 tháng,16,1,4,1,4,,,,,,,,,,,,,1 năm 4 tháng,16,201806,201909,,,201806,201909,16,0,1,0,0,,BHXH,,DV000699,201909,0.0,,,,,,,,2026-01-01 08:01:36.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
97,1000097,7000000097,197806,198005,2 năm 0 tháng,24,2,0,2,0,,,,,,,,,,,,,2 năm 0 tháng,24,197806,198005,,,197806,198005,24,0,1,0,0,,BHXH,,DV000706,198005,0.0,,,,,,,,2026-01-01 08:01:37.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
100,1000100,7000000100,202001,202601,0 năm 5 tháng,5,0,5,0,5,,,,,,,,,,,,,0 năm 5 tháng,5,201009,201101,,,201009,201101,5,0,1,0,0,,BHXH,,DV000714,201101,0.0,,,,,,,,2026-01-01 08:01:40.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
103,1000103,7000000103,199711,199910,2 năm 0 tháng,24,2,0,2,0,,,,,,,,,,,,,2 năm 0 tháng,24,199711,199910,,,199711,199910,24,0,1,0,0,,BHXH,,DV000748,199910,0.0,,,,,,,,2026-01-01 08:01:43.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
104,1000104,7000000104,200003,200107,1 năm 5 tháng,17,1,5,1,5,,,,,,,,,,,,,1 năm 5 tháng,17,200003,200107,,,200003,200107,17,0,1,0,0,,BHXH,,DV000742,200107,0.0,,,,,,,,2026-01-01 08:01:44.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
108,1000108,7000000108,,,1 năm 2 tháng,14,1,2,1,2,,,,,,,,,,,,,1 năm 2 tháng,14,200104,200205,,,200104,200205,14,0,1,0,0,,BHXH,,DV000770,200205,0.0,,,,,,,,2026-01-01 08:01:48.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
109,1000109,7000000109,,,1 năm 2 tháng,14,1,2,1,2,,,,,,,,,,,,,1 năm 2 tháng,14,200907,201008,,,200907,201008,14,0,1,0,0,,BHXH,,DV000790,201008,0.0,,,,,,,,2026-01-01 08:01:49.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
111,1000111,7000000111,,,1 năm 1 tháng,13,1,1,1,1,,,,,,,,,,,,,1 năm 1 tháng,13,198905,199005,,,198905,199005,13,0,1,0,0,,BHXH,,DV000791,199005,0.0,,,,,,,,2026-01-01 08:01:51.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
112,1000112,7000000112,,,0 năm 11 tháng,11,0,11,0,11,,,,,,,,,,,,,0 năm 11 tháng,11,199109,199207,,,199109,199207,11,0,1,0,0,,BHXH,,DV000798,199207,0.0,,,,,,,,2026-01-01 08:01:52.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
115,1000115,7000000115,200102,200112,0 năm 11 tháng,11,0,11,0,11,,,,,,,,,,,,,0 năm 11 tháng,11,200102,200112,,,200102,200112,11,0,1,0,0,,BHXH,,DV000819,200112,0.0,,,,,,,,2026-01-01 08:01:55.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
118,1000118,7000000118,198702,198710,0 năm 9 tháng,9,0,9,0,9,,,,,,,,,,,,,0 năm 9 tháng,9,198702,198710,,,198702,198710,9,0,1,0,0,,BHXH,,DV000840,198710,0.0,,,,,,,,2026-01-01 08:01:58.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
120,1000120,7000000120,198011,198107,0 năm 9 tháng,9,0,9,0,9,,,,,,,,,,,,,0 năm 9 tháng,9,198011,198107,,,198011,198107,9,0,1,0,0,,BHXH,,DV000854,198107,0.0,,,,,,,,2026-01-01 08:02:00.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
127,1000127,7000000127,,,1 năm 3 tháng,15,1,3,1,3,,,,,,,,,,,,,1 năm 3 tháng,15,201509,201611,,,201509,201611,15,0,1,0,0,,BHXH,,DV000903,201611,0.0,,,,,,,,2026-01-01 08:02:07.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
128,1000128,7000000128,198103,198207,1 năm 5 tháng,17,1,5,1,5,,,,,,,,,,,,,1 năm 5 tháng,17,198103,198207,,,198103,198207,17,0,1,0,0,,BHXH,,DV000910,198207,0.0,,,,,,,,2026-01-01 08:02:08.000000,RAW_QTTG_BHXH.csv,2026-09-16 01:58:47.173882,BRONZE,0,
